,Origin,Destination,Time (min),Summary,Directions
15,Mali Raj,Marché Sucre,33.1,"X33, U6","Head southwest on Gartenfelder Straße. Go for 44 m.Go to the stop Berlin, Siedlung Haselhorst and take the bus X33 toward Berlin, Wilhelmsruher Damm. Follow for 6 stops.Get off at U Holzhauser Str..Walk to U Holzhauser Str..Take the rail U6 toward U Alt-Tegel. Follow for 1 station.Get off at U Borsigwerke.Head northwest on Berliner Straße. Go for 51 m.Turn left onto Berliner Straße. Go for 108 m.Turn right onto Berliner Straße. Go for 118 m.Turn left onto Am Borsigturm. Go for 75 m.Arrive at Am Borsigturm. Your destination is on the left."
16,Marché Sucre,Zadar Restaurant,19.45,,"Head east on Am Borsigturm. Go for 75 m.Turn right onto Berliner Straße. Go for 118 m.Turn left onto Am Borsigturm. Go for 325 m.Turn right onto Ernststraße. Go for 16 m.Turn right. Go for 126 m.Take the street on the left, Ernststraße. Go for 453 m.Turn left onto Räuschstraße. Go for 17 m.Arrive at Räuschstraße. Your destination is on the left."
17,Zadar Restaurant,Vincent-Burger,50.43333333333333,"U6, X21, 109","Head southeast on Räuschstraße. Go for 17 m.Turn right onto Ernststraße. Go for 476 m.Continue straight onto Ernststraße. Go for 103 m.Turn left onto Ernststraße. Go for 16 m.Turn left onto Ernststraße. Go for 217 m.Turn left onto Berliner Straße. Go for 51 m.Go to the station U Borsigwerke and take the rail U6 toward U Alt-Mariendorf. Follow for 4 stations.Get off at U Kurt-Schumacher-Platz.Walk to U Kurt-Schumacher-Platz.Take the bus X21 toward U Jakob-Kaiser-Platz. Follow for 1 stop.Get off at U Jakob-Kaiser-Platz.Take the bus 109 toward Berlin, Hertzallee. Follow for 3 stops.Get off at Berlin, Schlossbrücke.Head southwest on Tegeler Weg. Go for 65 m.Turn left onto Tauroggener Straße. Go for 224 m.Arrive at Tauroggener Straße. Your destination is on the left."
18,Vincent-Burger,Original Taiwanesische Bauernstube,29.7,"M45, 101, 101","Head south on Tauroggener Straße. Go for 561 m.Go to the stop Berlin, Luisenplatz/Schloss Charlottenburg and take the bus M45 toward Berlin, Hertzallee. Follow for 4 stops.Get off at Berlin, Otto-Suhr-Allee/Leibnizstr..Take the bus 101 toward Berlin, Sachtlebenstr.. Follow for 1 stop.Get off at Berlin, Bismarckstr./Leibnizstr..Take the bus 101 toward Berlin, Turmstr./Lübecker Str.. Follow for 3 stops.Get off at Berlin, Helmholtzstr..Head northeast on Helmholtzstraße. Go for 88 m.Turn left onto Morsestraße. Go for 22 m.Arrive at Morsestraße. Your destination is on the right."
19,Original Taiwanesische Bauernstube,Taste Singapore Style,12.333333333333334,,Head south on Morsestraße. Go for 22 m.Turn left onto Helmholtzstraße. Go for 531 m.Turn left onto Gotzkowskystraße. Go for 100 m.Turn left onto Alt-Moabit. Go for 61 m.Arrive at Alt-Moabit. Your destination is on the right.
20,Taste Singapore Style,Puszta,14.733333333333333,245,"Head east on Alt-Moabit. Go for 72 m.Turn left. Go for 16 m.Go to the stop Berlin, Alt-Moabit/Gotzkowskystr. and take the bus 245 toward Berlin, Robert-Koch-Platz. Follow for 2 stops.Get off at Berlin, Alt-Moabit/Rathaus Tiergarten.Head northwest on Alt-Moabit. Go for 53 m.Turn left onto Thusnelda-Allee. Go for 236 m.Arrive at Jonasstraße. Your destination is on the left."
21,Puszta,Angkor Wat,23.35,245,"Head south on Jonasstraße. Go for 236 m.Turn right onto Alt-Moabit. Go for 53 m.Go to the stop Berlin, Alt-Moabit/Rathaus Tiergarten and take the bus 245 toward Berlin, Robert-Koch-Platz. Follow for 5 stops.Get off at Berlin, Alt-Moabit/Rathenower Str..Head east on Paulstraße. Go for 383 m.Arrive at Paulstraße."
22,Angkor Wat,Corroboree,27.683333333333334,"100, 200","Head south on Paulstraße. Go for 108 m.Take the street on the left, Paulstraße. Go for 262 m.Take the street on the right, Spreeweg. Go for 58 m.Go to the stop Berlin, Schloss Bellevue and take the bus 100 toward S+U Zoologischer Garten/Jebensstr.. Follow for 2 stops.Get off at Berlin, Nordische Botschaften/Adenauer-Stiftung.Take the bus 200 toward Berlin, Michelangelostr.. Follow for 2 stops.Get off at Berlin, Philharmonie.Head east on Herbert-von-Karajan-Straße. Go for 80 m.Turn right onto Tiergartenstraße. Go for 233 m.Turn right onto Bellevuestraße. Go for 30 m.Take the street on the right, Bellevuestraße. Go for 84 m.Turn right. Go for 30 m.Arrive at your destination on the left."
23,Corroboree,Tunnbrödsrulle - Swedish Hot Dog Wrap,19.683333333333334,M48,"Head southwest. Go for 70 m.Turn left. Go for 114 m.Turn left onto Potsdamer Straße. Go for 82 m.Turn right. Go for 19 m.Turn left onto Potsdamer Straße. Go for 17 m.Go to the stop Berlin, Varian-Fry-Str./Potsdamer Platz and take the bus M48 toward S+U Alexanderplatz Bhf. Follow for 3 stops.Get off at U Stadtmitte/Leipziger Str..Head south on Friedrichstraße. Go for 194 m.Turn left onto Schützenstraße. Go for 37 m.Arrive at Schützenstraße. Your destination is on the right."
24,Tunnbrödsrulle - Swedish Hot Dog Wrap,Mabuhay Mini,6.8,,Head west on Schützenstraße. Go for 37 m.Turn right onto Friedrichstraße. Go for 297 m.Turn slightly right onto Kronenstraße. Go for 54 m.Arrive at Kronenstraße. Your destination is on the left.
25,Mabuhay Mini,Pecados,9.333333333333334,,Head east on Kronenstraße. Go for 559 m.Arrive at Kronenstraße. Your destination is on the left.
26,Pecados,KIRSONS Alexa,17.633333333333333,U2,Head east on Kronenstraße. Go for 118 m.Turn right onto Niederwallstraße. Go for 69 m.Turn right. Go for 2 m.Turn slightly left. Go for 57 m.Turn left onto Leipziger Straße. Go for 35 m.Turn right onto Seydelstraße. Go for 27 m.Turn left. Go for 25 m.Turn slightly right. Go for 8 m.Go to the station U Spittelmarkt and take the rail U2 toward S+U Pankow. Follow for 2 stations.Get off at U Klosterstr..Head north on Parochialstraße. Go for 85 m.Turn right onto Waisenstraße. Go for 59 m.Turn left onto Voltairestraße. Go for 153 m.Turn left onto Stadtbahnbogen. Go for 84 m.Arrive at Stadtbahnbogen. Your destination is on the right.
27,KIRSONS Alexa,Al Hamra,25.6,"U2, M10","Head south on Stadtbahnbogen. Go for 84 m.Turn right onto Voltairestraße. Go for 122 m.Continue straight ahead. Go for 31 m.Turn right onto Waisenstraße. Go for 59 m.Turn left onto Parochialstraße. Go for 85 m.Go to the station U Klosterstr. and take the rail U2 toward S+U Pankow. Follow for 4 stations.Get off at U Eberswalder Str..Walk to U Eberswalder Str..Take the rail M10 toward S+U Warschauer Str.. Follow for 1 station.Get off at Berlin, Husemannstr..Head west on Dunckerstraße. Go for 259 m.Turn right onto Raumerstraße. Go for 53 m.Arrive at Raumerstraße. Your destination is on the right."
